Test set range,RMSE,MAPE,R2-score,Anderson_Darling_dist,CVM_dist,DTS_dist,Kolmogorov_Smirnov_dist,Kuiper_dist,Wasserstein_dist
0 : 50,21.862273781392872,1.4662200585007668,0.8447145522153081,44.599000959798396,896.7106735751261,17.721298540796784,0.8708981001726912,0.908894645941286,305.23303388368663
50 : 100,32.83217044326532,1.8729502335190773,0.7857255958993187,45.29583257455002,903.1255785837577,18.68539777335911,0.8929188255612904,0.91278065630398,315.4300039694967
100 : 150,29.439391899462805,1.5868306159973145,0.658085644079468,57.08339302039806,1027.65091537132,41.37441079588425,0.9788428324697462,0.9835924006908481,551.6752084682507
150 : 200,43.39797127899889,2.3537788540124893,0.9218830056122064,50.47937402779104,938.5988255613028,30.52712852228138,0.7896200345422891,0.7986873920552732,428.53041816987013
200 : 250,55.26904189677527,3.517237678170204,0.9175309045618966,44.72734530140689,845.7196891191609,24.34489334574732,0.7031088082901407,0.7121761658031247,347.96417845413566
250 : 300,134.8064367551676,5.707003548741341,0.557694231976853,62.15020365134759,1057.5682037996442,101.85559810163775,0.986183074265946,0.986183074265946,894.8804862235228
300 : 350,226.20877559513468,9.980035573244095,-7.274815792890221,62.61699988899653,1061.0620379965349,138.54787647537395,0.999999999999969,0.999999999999969,1211.1244901297673
350 : 400,133.08172712190807,6.349259614944458,-8.686429464296785,62.5012989279481,1060.4020379965348,105.95131326918842,0.999999999999969,0.999999999999969,1005.4865164969633
400 : 450,159.1507675032546,7.250109314918518,-1.7685421873679785,62.61699988899653,1061.0620379965349,116.98462059890214,0.999999999999969,0.999999999999969,1050.1695047782096
450 : 500,147.70561013592206,6.888860464096069,-2.896008693287678,62.61699988899653,1061.0620379965349,112.45109683541332,0.999999999999969,0.999999999999969,1018.6134842703966
500 : 550,193.94761091916033,8.905186504125595,-9.664517863230351,62.491057630345935,1060.2820379965349,129.52116356561476,0.999999999999969,0.999999999999969,1156.9194950125825
