Test point,Assigned cluster,RMSE,MAPE,R2-score,WD origin,Wasserstein distance,WD ratio,mse,staDRE
381,3,14.360479036379562,2.2572843357920647,0.19991027819466212,508.23269220891564,33.88737139032626,0.06667688228209534,0.1219,0.9057115588589524
349,3,6.646066245020668,0.9550215676426888,0.2641428905526523,508.23269220891564,18.922777884466875,0.0372325082084417,0.1219,0.9204337458957792
366,3,9.938393222803887,1.5192164108157158,-0.3434490998101427,508.23269220891564,18.815002005560622,0.03702044810180466,0.1219,0.9205397759490977
515,3,111.61320188910226,15.05540907382965,-44.1016181635745,508.23269220891564,113.00605119989658,0.22235100758422674,0.1219,0.8278744962078867
536,3,70.95576582015728,10.117773711681366,-20.351810036131738,508.23269220891564,107.8627467565372,0.21223102805082603,0.1219,0.8329344859745871
280,3,11.111040594089111,1.7120487987995148,0.5634776011566178,508.23269220891564,20.599891225357464,0.04053240088870476,0.1219,0.9187837995556477
10,2,17.26028445401737,3.0432622879743576,0.6308237359415988,406.5438824553423,28.1366455249645,0.0692093688755856,0.0681,0.9313453155622071
336,3,12.006792689086913,1.7853181809186935,0.7884015140060825,508.23269220891564,51.369042532904366,0.10107386502359918,0.1219,0.8885130674882005
319,3,19.619278966815635,2.7092281728982925,-1.3291127638045914,508.23269220891564,64.5253016881778,0.12696015560851376,0.1219,0.8755699221957431
81,3,14.819690102079722,1.9790928810834885,-0.3635323538056554,508.23269220891564,24.592238944037188,0.048387754902489095,0.1219,0.9148561225487555
34,2,11.127675966899666,2.1686172112822533,-0.14333002109040827,406.5438824553423,37.67953102565828,0.09268256798771844,0.0681,0.9196087160061408
396,3,10.426463613980166,1.522606797516346,-0.6143195035023548,508.23269220891564,24.45884966181062,0.04812529779520065,0.1219,0.9149873511023997
231,3,15.61424239051282,2.2899115458130836,0.6319168383919771,508.23269220891564,56.63437983098591,0.11143395672725755,0.1219,0.8833330216363713
420,3,4.414397154418537,0.6545621901750565,0.23936644964785092,508.23269220891564,19.934072440130937,0.03922233407200176,0.1219,0.9194388329639992
246,2,11.278211020513945,2.0571695640683174,0.5386511714651485,406.5438824553423,14.29663592775924,0.03516627981563512,0.0681,0.9483668600921824
