Test point,Assigned cluster,RMSE,MAPE,R-Squared,WD origin,Wasserstein distance,WD ratio,mse,staDRE
213,2,53.066127765417605,3.2127711921930313,0.8342466622952213,1430.6199491063933,102.89696795437051,0.0719247400531797,0.3188,0.8046376299734102
413,2,136.68810013585673,6.286175549030304,-2.537312453449719,1430.6199491063933,412.2351540961068,0.28815140901229624,0.3188,0.6965242954938519
279,2,186.37972621438738,8.50130170583725,-3.0062286275257115,1430.6199491063933,457.00474027774743,0.3194452450933638,0.3188,0.6808773774533181
452,2,124.10525868944877,6.059449911117554,-4.516971015225652,1430.6199491063933,417.973868695716,0.2921627571017688,0.3188,0.6945186214491156
167,2,32.22210859373673,1.7922880128026009,0.2077497014213744,1430.6199491063933,18.996452451809336,0.013278475854943217,0.3188,0.8339607620725284
508,2,193.67629646526186,8.851054310798645,-11.092919714208593,1430.6199491063933,515.3954080023567,0.3602601853303441,0.3188,0.6604699073348279
504,2,210.76965544463462,9.506160020828247,-12.758019669764328,1430.6199491063933,525.8513711371223,0.3675688791181644,0.3188,0.6568155604409178
34,3,44.43780079671402,2.74544358253479,0.3700218282134716,1188.0235283265793,38.816164689421775,0.032672892214598875,0.081,0.9431635538927006
404,2,135.1403278193634,6.28146231174469,-3.8996726751006845,1430.6199491063933,393.29804472110686,0.2749144138293138,0.3188,0.7031427930853431
375,2,132.30681671780937,6.5679632127285,-26.891226342697184,1430.6199491063933,411.39574369571613,0.2875646631047511,0.3188,0.6968176684476245
415,2,144.55925742148096,6.900337338447571,-2.9574877793454273,1430.6199491063933,411.9654153265755,0.2879628622429745,0.3188,0.6966185688785127
474,2,124.85583483437007,6.164414808154106,-13.37721057654288,1430.6199491063933,404.7737100043099,0.2829358770350877,0.3188,0.6991320614824561
32,3,26.292903461978813,1.9391601905226707,0.7826479564034036,1188.0235283265793,45.53148559292671,0.03832540728975396,0.081,0.9403372963551231
5,3,20.40527490970472,1.3319462537765503,0.2692972190040289,1188.0235283265793,112.63791971389894,0.09481118599777055,0.081,0.9120944070011148
233,2,37.53423242209204,2.0885445177555084,0.5261495993059457,1430.6199491063933,47.6908198616068,0.03333577159426294,0.3188,0.8239321142028685
